,지역명,연도,월,평당분양가격
460,인천,2016,4,10685.4
461,경기,2016,4,10556.699999999999
462,부산,2016,4,10457.699999999999
463,대구,2016,4,10335.599999999999
464,광주,2016,4,8910.0
465,대전,2016,4,8081.7
466,울산,2016,4,10137.599999999999
467,세종,2016,4,8844.0
468,강원,2016,4,7062.0
469,충북,2016,4,6494.4
470,충남,2016,4,7157.7
471,전북,2016,4,6299.7
472,전남,2016,4,6352.5
473,경북,2016,4,7184.099999999999
474,경남,2016,4,7890.299999999999
475,제주,2016,4,8972.699999999999
476,서울,2016,5,20671.199999999997
477,인천,2016,5,10490.699999999999
478,경기,2016,5,11361.9
479,부산,2016,5,10388.4
480,대구,2016,5,10335.599999999999
481,광주,2016,5,8982.6
482,대전,2016,5,8134.5
483,울산,2016,5,10154.099999999999
484,세종,2016,5,8844.0
485,강원,2016,5,6986.099999999999
486,충북,2016,5,6534.0
487,충남,2016,5,7147.799999999999
488,전북,2016,5,6418.5
489,전남,2016,5,6359.099999999999
490,경북,2016,5,7180.799999999999
491,경남,2016,5,7857.299999999999
492,제주,2016,5,8880.3
493,서울,2016,6,20486.399999999998
494,인천,2016,6,10573.199999999999
495,경기,2016,6,11688.599999999999
496,부산,2016,6,10395.0
497,대구,2016,6,10342.199999999999
498,광주,2016,6,9032.1
499,대전,2016,6,8454.6
500,울산,2016,6,10127.699999999999
501,세종,2016,6,8853.9
502,강원,2016,6,6943.2
503,충북,2016,6,6755.099999999999
504,충남,2016,6,7253.4
505,전북,2016,6,6372.299999999999
506,전남,2016,6,6494.4
507,경북,2016,6,7385.4
508,경남,2016,6,7883.7
509,제주,2016,6,9329.1
510,서울,2016,7,20638.199999999997
511,인천,2016,7,10632.599999999999
512,경기,2016,7,11652.3
513,부산,2016,7,10421.4
514,대구,2016,7,10329.0
515,광주,2016,7,9048.6
516,대전,2016,7,8454.6
517,울산,2016,7,10127.699999999999
518,세종,2016,7,8867.1
519,강원,2016,7,6933.299999999999
520,충북,2016,7,6847.5
521,충남,2016,7,7253.4
522,전북,2016,7,6365.7
523,전남,2016,7,6494.4
524,경북,2016,7,7418.4
525,경남,2016,7,7837.5
526,제주,2016,7,9329.1
527,서울,2016,8,20740.5
528,인천,2016,8,10675.5
529,경기,2016,8,11751.3
530,부산,2016,8,10510.5
531,대구,2016,8,10385.099999999999
532,광주,2016,8,8995.8
533,대전,2016,8,8454.6
534,울산,2016,8,9820.8
535,세종,2016,8,8890.199999999999
536,강원,2016,8,6923.4
537,충북,2016,8,7009.2
538,충남,2016,8,7375.5
539,전북,2016,8,6365.7
540,전남,2016,8,6487.799999999999
541,경북,2016,8,7385.4
542,경남,2016,8,7867.2
543,제주,2016,8,9497.4
544,서울,2016,9,20733.899999999998
545,인천,2016,9,10454.4
546,경기,2016,9,11088.0
547,부산,2016,9,10560.0
548,대구,2016,9,10385.099999999999
549,광주,2016,9,8979.3
550,대전,2016,9,8306.1
551,울산,2016,9,9820.8
552,세종,2016,9,8873.699999999999
553,강원,2016,9,6930.0
554,충북,2016,9,7012.5
555,충남,2016,9,7378.799999999999
556,전북,2016,9,6352.5
557,전남,2016,9,6507.599999999999
558,경북,2016,9,7428.299999999999
559,경남,2016,9,7890.299999999999
560,제주,2016,9,10173.9
561,서울,2016,10,21120.0
562,인천,2016,10,10553.4
563,경기,2016,10,11322.3
564,부산,2016,10,10220.099999999999
565,대구,2016,10,10385.099999999999
566,광주,2016,10,8992.5
567,대전,2016,10,10117.8
568,울산,2016,10,10576.5
569,세종,2016,10,8910.0
570,강원,2016,10,7052.099999999999
571,충북,2016,10,6923.4
572,충남,2016,10,7415.099999999999
573,전북,2016,10,6359.099999999999
574,전남,2016,10,6540.599999999999
575,경북,2016,10,7570.2
576,경남,2016,10,7959.599999999999
577,제주,2016,10,10173.9
578,서울,2016,11,21021.0
579,인천,2016,11,10398.3
580,경기,2016,11,11701.8
581,부산,2016,11,10173.9
582,대구,2016,11,10259.699999999999
583,광주,2016,11,9157.5
584,대전,2016,11,8860.5
585,울산,2016,11,10758.0
586,세종,2016,11,8916.6
587,강원,2016,11,6834.299999999999
588,충북,2016,11,7012.5
589,충남,2016,11,7514.099999999999
590,전북,2016,11,6362.4
591,전남,2016,11,6784.799999999999
592,경북,2016,11,7570.2
593,경남,2016,11,7784.7
594,제주,2016,11,10253.099999999999
595,서울,2016,12,21261.899999999998
596,인천,2016,12,10335.599999999999
597,경기,2016,12,11731.5
598,부산,2016,12,10734.9
599,대구,2016,12,10375.199999999999
600,광주,2016,12,9183.9
601,대전,2016,12,8860.5
602,울산,2016,12,10758.0
603,세종,2016,12,8926.5
604,강원,2016,12,6887.099999999999
605,충북,2016,12,6867.299999999999
606,충남,2016,12,7504.2
607,전북,2016,12,6613.2
608,전남,2016,12,6857.4
609,경북,2016,12,7626.299999999999
610,경남,2016,12,7880.4
611,제주,2016,12,10335.599999999999
612,서울,2017,1,21285.0
613,인천,2017,1,10335.599999999999
614,경기,2017,1,11728.199999999999
615,부산,2017,1,10705.199999999999
616,대구,2017,1,10299.3
617,광주,2017,1,9167.4
618,대전,2017,1,8860.5
619,울산,2017,1,10758.0
620,세종,2017,1,8926.5
621,강원,2017,1,6880.5
622,충북,2017,1,6946.5
623,충남,2017,1,7375.5
624,전북,2017,1,6619.799999999999
625,전남,2017,1,6857.4
626,경북,2017,1,7629.599999999999
627,경남,2017,1,7887.0
628,제주,2017,1,10309.199999999999
629,서울,2017,2,21331.199999999997
630,인천,2017,2,10451.099999999999
631,경기,2017,2,11903.099999999999
632,부산,2017,2,10701.9
633,대구,2017,2,10421.4
634,광주,2017,2,9167.4
635,대전,2017,2,8979.3
636,울산,2017,2,10767.9
637,세종,2017,2,8926.5
638,강원,2017,2,6897.0
639,충북,2017,2,6745.2
640,충남,2017,2,7378.799999999999
641,전북,2017,2,6629.7
642,전남,2017,2,6906.9
643,경북,2017,2,7613.099999999999
644,경남,2017,2,7867.2
645,제주,2017,2,10342.199999999999
646,서울,2017,3,21021.0
647,인천,2017,3,10490.699999999999
648,경기,2017,3,11985.599999999999
649,부산,2017,3,10857.0
650,대구,2017,3,10560.0
651,광주,2017,3,9183.9
652,대전,2017,3,8979.3
653,울산,2017,3,10767.9
654,세종,2017,3,8926.5
655,강원,2017,3,6824.4
656,충북,2017,3,6520.799999999999
657,충남,2017,3,7382.099999999999
658,전북,2017,3,6745.2
659,전남,2017,3,6897.0
660,경북,2017,3,7560.299999999999
661,경남,2017,3,7943.099999999999
662,제주,2017,3,10220.099999999999
663,서울,2017,4,21007.8
664,인천,2017,4,10490.699999999999
665,경기,2017,4,11893.199999999999
666,부산,2017,4,10853.699999999999
667,대구,2017,4,10490.699999999999
668,광주,2017,4,9418.199999999999
669,대전,2017,4,9038.699999999999
670,울산,2017,4,11807.4
671,세종,2017,4,9005.699999999999
672,강원,2017,4,6824.4
673,충북,2017,4,6732.0
674,충남,2017,4,7329.299999999999
675,전북,2017,4,6946.5
676,전남,2017,4,6949.799999999999
677,경북,2017,4,7649.4
678,경남,2017,4,7923.299999999999
679,제주,2017,4,10965.9
680,서울,2017,5,21120.0
681,인천,2017,5,10860.3
682,경기,2017,5,11464.199999999999
683,부산,2017,5,11711.699999999999
684,대구,2017,5,10490.699999999999
685,광주,2017,5,9537.0
686,대전,2017,5,9038.699999999999
687,울산,2017,5,11807.4
688,세종,2017,5,9005.699999999999
689,강원,2017,5,6877.2
690,충북,2017,5,6765.0
691,충남,2017,5,7332.599999999999
692,전북,2017,5,7029.0
693,전남,2017,5,7144.5
694,경북,2017,5,7797.9
695,경남,2017,5,7979.4
696,제주,2017,5,11414.699999999999
697,서울,2017,6,22001.1
698,인천,2017,6,10975.8
699,경기,2017,6,11513.699999999999
700,부산,2017,6,11932.8
701,대구,2017,6,10711.8
702,광주,2017,6,9609.6
703,대전,2017,6,9038.699999999999
704,울산,2017,6,11820.599999999999
705,세종,2017,6,9018.9
706,강원,2017,6,7032.299999999999
707,충북,2017,6,6741.9
708,충남,2017,6,7504.2
709,전북,2017,6,7263.299999999999
710,전남,2017,6,7085.099999999999
711,경북,2017,6,7863.9
712,경남,2017,6,8065.2
713,제주,2017,6,10804.199999999999
714,서울,2017,7,21690.899999999998
715,인천,2017,7,10962.599999999999
716,경기,2017,7,11975.699999999999
717,부산,2017,7,11926.199999999999
718,대구,2017,7,12771.0
719,광주,2017,7,9550.199999999999
720,대전,2017,7,9035.4
721,울산,2017,7,11820.599999999999
722,세종,2017,7,9018.9
723,강원,2017,7,7081.799999999999
724,충북,2017,7,6741.9
725,충남,2017,7,7507.5
726,전북,2017,7,7243.5
727,전남,2017,7,7085.099999999999
728,경북,2017,7,7860.599999999999
729,경남,2017,7,8134.5
730,제주,2017,7,11005.5
731,서울,2017,8,20367.6
732,인천,2017,8,10800.9
733,경기,2017,8,12015.3
734,부산,2017,8,11843.699999999999
735,대구,2017,8,13180.199999999999
736,광주,2017,8,9579.9
737,대전,2017,8,9035.4
738,울산,2017,8,11820.599999999999
739,세종,2017,8,9022.199999999999
740,강원,2017,8,7484.4
741,충북,2017,8,6765.0
742,충남,2017,8,7448.099999999999
743,전북,2017,8,7289.7
744,전남,2017,8,7306.2
745,경북,2017,8,8055.299999999999
746,경남,2017,8,8299.5
747,제주,2017,8,11005.5
748,서울,2017,9,21473.1
749,인천,2017,9,10896.599999999999
750,경기,2017,9,11972.4
751,부산,2017,9,11860.199999999999
752,대구,2017,9,12668.699999999999
753,광주,2017,9,9718.5
754,대전,2017,9,9550.199999999999
755,울산,2017,9,11820.599999999999
756,세종,2017,9,9101.4
757,강원,2017,9,7375.5
758,충북,2017,9,6778.2
759,충남,2017,9,7448.099999999999
760,전북,2017,9,7322.7
761,전남,2017,9,7306.2
762,경북,2017,9,8015.7
763,경남,2017,9,8283.0
764,제주,2017,9,10632.599999999999
765,서울,2017,10,21707.399999999998
766,인천,2017,10,10890.0
767,경기,2017,10,11962.5
768,부산,2017,10,12285.9
769,대구,2017,10,12668.699999999999
770,광주,2017,10,9609.6
771,대전,2017,10,9005.699999999999
772,울산,2017,10,11170.5
773,세종,2017,10,9104.699999999999
774,강원,2017,10,7520.7
775,충북,2017,10,6798.0
776,충남,2017,10,7533.9
777,전북,2017,10,7200.599999999999
