,행정구역,연도,월,평당분양가격,인구수,경제활동인구,소득
164,충청남도,2014,9,6882.0,2087600,1203000,284
165,전라북도,2014,9,6719.0,1829437,923000,246
166,전라남도,2014,9,5804.0,1791887,973000,278
167,경상북도,2014,9,6577.0,2670922,1485000,270
168,경상남도,2014,9,6767.0,3307369,1702000,267
169,제주특별자치도,2014,9,7833.0,583335,329000,224
170,서울특별시,2014,10,19759.0,9975163,5449000,319
171,부산광역시,2014,10,9110.0,3452309,1760000,255
172,대구광역시,2014,10,8403.0,2474900,1275000,235
173,인천광역시,2014,10,10016.0,2862241,1544000,263
174,광주광역시,2014,10,7707.0,1504582,753000,249
175,대전광역시,2014,10,8038.0,1552692,788000,280
176,울산광역시,2014,10,8627.0,1151171,572000,295
177,경기도,2014,10,10397.0,12282013,6488000,278
178,세종특별자치시,2014,10,8527.0,132437,0,0
179,강원도,2014,10,6631.0,1510198,743000,248
180,충청북도,2014,10,6529.0,1578403,848000,253
181,충청남도,2014,10,6831.0,2087600,1203000,284
182,전라북도,2014,10,6581.0,1829437,923000,246
183,전라남도,2014,10,5753.0,1791887,973000,278
184,경상북도,2014,10,6778.0,2670922,1485000,270
185,경상남도,2014,10,6881.0,3307369,1702000,267
186,제주특별자치도,2014,10,7724.0,583335,329000,224
187,서울특별시,2014,11,20242.0,9975163,5449000,319
188,부산광역시,2014,11,9208.0,3452309,1760000,255
189,대구광역시,2014,11,8439.0,2474900,1275000,235
190,인천광역시,2014,11,10020.0,2862241,1544000,263
191,광주광역시,2014,11,7752.0,1504582,753000,249
192,대전광역시,2014,11,8067.0,1552692,788000,280
193,울산광역시,2014,11,8891.0,1151171,572000,295
194,경기도,2014,11,10356.0,12282013,6488000,278
195,세종특별자치시,2014,11,8592.0,132437,0,0
196,강원도,2014,11,6365.0,1510198,743000,248
197,충청북도,2014,11,6724.0,1578403,848000,253
198,충청남도,2014,11,6940.0,2087600,1203000,284
199,전라북도,2014,11,6583.0,1829437,923000,246
200,전라남도,2014,11,5768.0,1791887,973000,278
201,경상북도,2014,11,6881.0,2670922,1485000,270
202,경상남도,2014,11,7125.0,3307369,1702000,267
203,제주특별자치도,2014,11,7724.0,583335,329000,224
204,서울특별시,2014,12,20269.0,9975163,5449000,319
205,부산광역시,2014,12,9208.0,3452309,1760000,255
206,대구광역시,2014,12,8253.0,2474900,1275000,235
207,인천광역시,2014,12,10020.0,2862241,1544000,263
208,광주광역시,2014,12,7748.0,1504582,753000,249
209,대전광역시,2014,12,8067.0,1552692,788000,280
210,울산광역시,2014,12,8891.0,1151171,572000,295
211,경기도,2014,12,10379.0,12282013,6488000,278
212,세종특별자치시,2014,12,8560.0,132437,0,0
213,강원도,2014,12,6365.0,1510198,743000,248
214,충청북도,2014,12,6743.0,1578403,848000,253
215,충청남도,2014,12,6989.0,2087600,1203000,284
216,전라북도,2014,12,6583.0,1829437,923000,246
217,전라남도,2014,12,5784.0,1791887,973000,278
218,경상북도,2014,12,6989.0,2670922,1485000,270
219,경상남도,2014,12,7332.0,3307369,1702000,267
220,제주특별자치도,2014,12,7739.0,583335,329000,224
221,서울특별시,2015,1,20670.0,9941162,5391000,326
222,부산광역시,2015,1,9204.0,3452260,1756000,262
223,대구광역시,2015,1,8327.0,2468755,1291000,241
224,인천광역시,2015,1,10017.0,2882868,1567000,272
225,광주광역시,2015,1,7752.0,1505906,755000,256
226,대전광역시,2015,1,8067.0,1542394,797000,285
227,울산광역시,2015,1,8526.0,1163719,590000,308
228,경기도,2015,1,10391.0,12423017,6653000,285
229,세종특별자치시,2015,1,8560.0,187202,0,0
230,강원도,2015,1,6348.0,1516636,765000,256
231,충청북도,2015,1,6749.0,1589264,862000,263
232,충청남도,2015,1,6976.0,2102811,1242000,293
233,전라북도,2015,1,6583.0,1835125,938000,254
234,전라남도,2015,1,5784.0,1796578,987000,285
235,경상북도,2015,1,6992.0,2677768,1478000,277
236,경상남도,2015,1,7592.0,3330230,1736000,276
237,제주특별자치도,2015,1,7739.0,599252,346000,229
238,서울특별시,2015,2,20670.0,9941162,5391000,326
239,부산광역시,2015,2,9235.0,3452260,1756000,262
240,대구광역시,2015,2,8416.0,2468755,1291000,241
241,인천광역시,2015,2,9876.0,2882868,1567000,272
242,광주광역시,2015,2,7756.0,1505906,755000,256
243,대전광역시,2015,2,8067.0,1542394,797000,285
244,울산광역시,2015,2,8526.0,1163719,590000,308
245,경기도,2015,2,10355.0,12423017,6653000,285
246,세종특별자치시,2015,2,8560.0,187202,0,0
247,강원도,2015,2,6350.0,1516636,765000,256
248,충청북도,2015,2,6747.0,1589264,862000,263
249,충청남도,2015,2,6980.0,2102811,1242000,293
250,전라북도,2015,2,6583.0,1835125,938000,254
251,전라남도,2015,2,5833.0,1796578,987000,285
252,경상북도,2015,2,6953.0,2677768,1478000,277
253,경상남도,2015,2,7588.0,3330230,1736000,276
254,제주특별자치도,2015,2,7739.0,599252,346000,229
255,서울특별시,2015,3,19415.0,9941162,5391000,326
256,부산광역시,2015,3,9279.0,3452260,1756000,262
257,대구광역시,2015,3,8441.0,2468755,1291000,241
258,인천광역시,2015,3,9876.0,2882868,1567000,272
259,광주광역시,2015,3,7861.0,1505906,755000,256
260,대전광역시,2015,3,8067.0,1542394,797000,285
261,울산광역시,2015,3,8629.0,1163719,590000,308
262,경기도,2015,3,10469.0,12423017,6653000,285
263,세종특별자치시,2015,3,8555.0,187202,0,0
264,강원도,2015,3,6182.0,1516636,765000,256
265,충청북도,2015,3,6783.0,1589264,862000,263
266,충청남도,2015,3,7161.0,2102811,1242000,293
267,전라북도,2015,3,6542.0,1835125,938000,254
268,전라남도,2015,3,5825.0,1796578,987000,285
269,경상북도,2015,3,6997.0,2677768,1478000,277
270,경상남도,2015,3,7668.0,3330230,1736000,276
271,제주특별자치도,2015,3,7826.0,599252,346000,229
272,서울특별시,2015,4,18842.0,9941162,5391000,326
273,부산광역시,2015,4,9327.0,3452260,1756000,262
274,대구광역시,2015,4,8446.0,2468755,1291000,241
275,인천광역시,2015,4,9938.0,2882868,1567000,272
276,광주광역시,2015,4,7914.0,1505906,755000,256
277,대전광역시,2015,4,8145.0,1542394,797000,285
278,울산광역시,2015,4,9380.0,1163719,590000,308
279,경기도,2015,4,10684.0,12423017,6653000,285
280,세종특별자치시,2015,4,8546.0,187202,0,0
281,강원도,2015,4,6924.0,1516636,765000,256
282,충청북도,2015,4,6790.0,1589264,862000,263
283,충청남도,2015,4,7017.0,2102811,1242000,293
284,전라북도,2015,4,6551.0,1835125,938000,254
285,전라남도,2015,4,5940.0,1796578,987000,285
286,경상북도,2015,4,7006.0,2677768,1478000,277
287,경상남도,2015,4,7683.0,3330230,1736000,276
288,제주특별자치도,2015,4,7285.0,599252,346000,229
289,서울특별시,2015,5,18367.0,9941162,5391000,326
290,부산광역시,2015,5,9345.0,3452260,1756000,262
291,대구광역시,2015,5,8568.0,2468755,1291000,241
292,인천광역시,2015,5,10551.0,2882868,1567000,272
293,광주광역시,2015,5,7877.0,1505906,755000,256
294,대전광역시,2015,5,8272.0,1542394,797000,285
295,울산광역시,2015,5,9192.0,1163719,590000,308
296,경기도,2015,5,10685.0,12423017,6653000,285
297,세종특별자치시,2015,5,8546.0,187202,0,0
298,강원도,2015,5,6846.0,1516636,765000,256
299,충청북도,2015,5,6805.0,1589264,862000,263
300,충청남도,2015,5,6975.0,2102811,1242000,293
301,전라북도,2015,5,6556.0,1835125,938000,254
302,전라남도,2015,5,6050.0,1796578,987000,285
303,경상북도,2015,5,6966.0,2677768,1478000,277
304,경상남도,2015,5,7717.0,3330230,1736000,276
305,제주특별자치도,2015,5,7285.0,599252,346000,229
306,서울특별시,2015,6,18374.0,9941162,5391000,326
307,부산광역시,2015,6,9515.0,3452260,1756000,262
308,대구광역시,2015,6,8542.0,2468755,1291000,241
309,인천광역시,2015,6,10443.0,2882868,1567000,272
310,광주광역시,2015,6,7881.0,1505906,755000,256
311,대전광역시,2015,6,8079.0,1542394,797000,285
312,울산광역시,2015,6,9190.0,1163719,590000,308
313,경기도,2015,6,10573.0,12423017,6653000,285
314,세종특별자치시,2015,6,8671.0,187202,0,0
315,강원도,2015,6,6986.0,1516636,765000,256
316,충청북도,2015,6,6682.0,1589264,862000,263
317,충청남도,2015,6,6939.0,2102811,1242000,293
318,전라북도,2015,6,6601.0,1835125,938000,254
319,전라남도,2015,6,6243.0,1796578,987000,285
320,경상북도,2015,6,6887.0,2677768,1478000,277
321,경상남도,2015,6,7715.0,3330230,1736000,276
322,제주특별자치도,2015,6,7343.0,599252,346000,229
323,서울특별시,2015,7,18152.0,9941162,5391000,326
324,부산광역시,2015,7,9559.0,3452260,1756000,262
325,대구광역시,2015,7,8542.0,2468755,1291000,241
326,인천광역시,2015,7,10443.0,2882868,1567000,272
327,광주광역시,2015,7,8089.0,1505906,755000,256
328,대전광역시,2015,7,8079.0,1542394,797000,285
329,울산광역시,2015,7,9190.0,1163719,590000,308
330,경기도,2015,7,10518.0,12423017,6653000,285
331,세종특별자치시,2015,7,8669.0,187202,0,0
332,강원도,2015,7,7019.0,1516636,765000,256
333,충청북도,2015,7,6601.0,1589264,862000,263
334,충청남도,2015,7,6935.0,2102811,1242000,293
335,전라북도,2015,7,6750.0,1835125,938000,254
336,전라남도,2015,7,6286.0,1796578,987000,285
337,경상북도,2015,7,7035.0,2677768,1478000,277
338,경상남도,2015,7,7723.0,3330230,1736000,276
339,제주특별자치도,2015,7,7343.0,599252,346000,229
340,서울특별시,2015,8,18443.0,9941162,5391000,326
341,부산광역시,2015,8,9581.0,3452260,1756000,262
342,대구광역시,2015,8,8795.0,2468755,1291000,241
343,인천광역시,2015,8,10449.0,2882868,1567000,272
344,광주광역시,2015,8,8231.0,1505906,755000,256
345,대전광역시,2015,8,8079.0,1542394,797000,285
346,울산광역시,2015,8,9215.0,1163719,590000,308
347,경기도,2015,8,10573.0,12423017,6653000,285
348,세종특별자치시,2015,8,8695.0,187202,0,0
349,강원도,2015,8,7008.0,1516636,765000,256
350,충청북도,2015,8,6603.0,1589264,862000,263
351,충청남도,2015,8,6942.0,2102811,1242000,293
352,전라북도,2015,8,6580.0,1835125,938000,254
